sitex,EntrType,NumUnits,AvgUnitsqft,NumResFloors,GrossResSqFt,CondResSqFt,WWR,FndType,Fnd_wtmn_u,Fnd_wtmn_f,FndNotes,BsmtFloorU,wtmn_CeilingU,wtmn_WindowSHGC,wtmn_WindowU,BsmtWallType,BsmtWallNotes,BsmtWallU,BsmtWallR_cont,BsmtWallR_cavt,BsmtWall_masonry,wtmn_GenlWallU,AGWallU_AGMass,AGWallU_MetalFrame,AGWallU_WoodFrame,AGWallU_Other,effunits,mneff,inunithtsys_all,inunithtsys_raw,inunit_heat,inunit_cool,inunitclsys_all,inunitclsys_raw,Ventcentral_YN,Ventinunit_YN,Vent_inuniterv_YN,Vent_inunit_erveff,HVACcentral_YN,Central_Sys,HVACcentral,common_heat,commonhtsys_all,commonhtsys_raw,commonhtothr_raw,common_cool,commonclsys_all,commonclsys_raw,commonclothr_raw,Ventcorridor_YN,Vent_corridorerv_YN,Vent_corridor_erveff,Heat_bsmt_YN,Heat_bsmt_type,Vent_bsmt_YN,Vent_bsmterv_YN,Vent_bsmt_erveff,DHWFuel_central,centraldhweff_avg,centraldhweff_unitsall,centraldhwfuel_all,centralpipeins_all,centralsys_all,centraldhwgalall,centralcircloop_all,DHWFuel_units,inunitdhweff_avg,inunitdhweff_unitsall,inunitdhwsysall,inunitdhwgalall,inunitdhwfuel_all,LPD_unit,HighEffLamps_units,totalwatts_IntPk,LPD_IntPk_common,totalwatts_ExtPk,LPD_ExtPk,totalwatts_ExtNonPk,totalwatts_IntCorridor,LPD_IntCorridor,totalwatts_IntStairwell,LPD_IntStairwell,HVACcommon_YN,HVACunits_YN,DHWcentral_YN,DHWunits_YN,State,statecodeyr,CZ,IECCyr,County,City,BLANK
221037,garden style,6,1269,2,7920,7670,0.1809,slab,,0.52,,,0.025,,0.3231,,,,,,,0.056,,,0.056,,HSPF,8.8,Split system HP,Other HP,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.2666,100,,,,,282,,,,,No,Yes,No,Yes,OR,2014,4C,2012,Clackamas,Oak Grove,
222002,garden style,15,683,3,12561,12731,0.1504,slab,,0.36,,,0.025,,0.34,,,,,,,0.056,,,0.056,,HSPF,9.6,Split system HP; elecres,Mini-split HP; Baseboard; Wall heater,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,,elecres; Split system HP,Electric resistance; Heat pump,All Cadets in Stairwells; 2x Mini Splits in Common room; 1 Cadet in Each Bathroom in Commons; 1 Cadet in Office; 1 Cadet in Bike Room,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,NA; uef,Individual water heating tank,80; 50,Electricity,0.3231,100,,,53,0.0368,868,,,320,0.2807,No,Yes,No,Yes,OR,2014,4C,2012,Washington,Beaverton,
223008,common entry,50,685,3,46348,45048,0.1972,slab,,0.52,,,0.0188,0.6,0.5628,,,,,,,0.053,,,0.053,,,,CENTRALHVAC bldg,VRF,Split system HP,,,,Yes,Yes,No,0,Yes,VRF,Split system HP,Split system HP,Split system HP,Electric resistance; Heat pump,mech room wall heater; elec  room wall heater; 4 VRF systems (same size & services); 2 VRF systems (same size & services); NA,Split system HP,Split system HP,Heat pump,4 VRF systems (same size & services); 2 VRF systems (same size & services); NA,Yes,Yes,,No,,No,,,Natural Gas,0.96,uef,Natural Gas; Solar Energy,Yes,Central boiler for water heating; Other,100; 250,Yes,,,,,,,0.3056,100,,,910,0.0302,134.4,2820,0.5995,1707.2,0.7504,Yes,Yes,Yes,No,OR,2011,5B,2009,Deschutes,Bend,
223014,garden style,48,738,3,36224,35424,0.1368,slab,,0.67,,,0.025,,0.3617,,,,,,,0.061,,,0.061,,COP,3.5,PTHP; elecres,PTHP; Wall heater,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.935,ef; uef,Individual water heating tank,40; 50,Electricity,0.9313,88,,,546,0.0592,1952,,,,,No,Yes,No,Yes,OR,2014,5B,2012,Deschutes,Bend,
223047,common entry,24,612,3,18000,16751,0.304,slab,,0.67,,,0.019,,0.345,,,,,,,0.056,,,0.056,,COP,3.04,PTHP; elecres,PTHP; Wall heater,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,Split system HP,elecres; Split system HP,Electric resistance; Heat pump,NA,Split system HP,Split system HP,Heat pump,NA,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.342,100,,,,,122,239,0.2209,211,0.2133,Yes,Yes,No,Yes,OR,2014,5B,,Deschutes,Bend,
224020,common entry,10,633,3,6643,6643,0.1297,slab,,0.5,,,0.025,,0.37,,,,,,,0.061,,,0.061,,COP,3.8,Split system HP; elecres,Mini-split HP; Wall heater,Split system HP,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,elecres,elecres,Electric resistance,NA,,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.523,100,,,,,58,,,360,0.2605,Yes,Yes,No,Yes,OR,2014,4C,2012,Lane,Eugene,
225003,common entry,24,632,2,21600,21600,0.1921,slab,,0.32,,,0.021,,0.34,,,,,,,0.061,,,0.061,,COP,1,elecres,Baseboard; Wall heater,elecres,,,,No,Yes,No,0,No,,,Split system HP,Split system HP,Heat pump; Electric resistance,NA,Split system HP,Split system HP,Split System HP; Portable AC unit,NA,Yes,No,0,No,,No,,,Natural Gas,0.95,et,Natural Gas,Yes,Individual water heating tank,80,Yes,,,,,,,0.3296,100,,,,,497,728,0.2576,140,0.2405,Yes,Yes,Yes,No,OR,2014,4C,2012,Washington,Beaverton,
225015,garden style,24,955,3,22920,22920,0.2021,slab,,0.65,,,0.021,,0.3164,,,,,,,0.056,,,0.056,,COP,1,elecres,Baseboard,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.5257,100,,,254,0.1764,1636,,,,,No,Yes,No,Yes,OR,2011,4C,2009,Washington,Beaverton,
226002,common entry,12,827,3,12603,12603,0.1513,unheatedbsmt,,0.73,,0.03,0.025,,0.3805,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater; Fireplace,elecres,,,,No,Yes,No,0,No,,,Split system HP,Split system HP,Heat pump,NA,Split system HP,Split system HP,Split System HP,NA,Yes,No,0,No,,Yes,No,0,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.2382,100,72,0.0447,,,180,300,0.2732,156,0.1472,Yes,Yes,No,Yes,OR,2011,4C,2009,Washington,Sherwood,
229001,garden style,18,836,3,17928,15048,0.1327,slab,,0.73,,,0.021,,0.329,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.2205,100,,,474,0.1077,520,,,,,No,Yes,No,Yes,OR,2014,4C,2012,Clackamas,Happy Valley,
229002,garden style,21,1047,3,22482,21978,0.1033,slab,,0.67,,,0.025,0.4,0.35,,,,,,,0.056,,,0.056,,COP,3.1,PTHP; elecres,PTHP; Wall heater,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.2006,100,,,100,0.0333,400,,,,,No,Yes,No,Yes,OR,2011,4C,2009,Clackamas,Happy Valley,
230012,common entry,45,1135,3,68555,68555,0.1921,unheatedbsmt,,0.73,,0.03,0.021,,0.34,,,,,,,0.059049327,,,0.056,,AFUE,80,gasfurnace,Furnace,gasfurnace,Split system AC,Split system AC,Split system AC,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace; Split system HP,Furnace; Heat pump; Electric resistance,NA,PTAC,PTAC; Split system HP,Rooftop unit (RTU); Split System HP; Other,"""packaged unit""; NA; Split AC Only",Yes,No,0,No,,No,,,Natural Gas,0.9,uef,Natural Gas,Yes,Central boiler for water heating,100,Yes,,,,,,,0.8488,91,1240,0.0636,,,65,3720,0.4665,560,0.3333,Yes,Yes,Yes,No,OR,2011,4C,2009,Clackamas,Lake Oswego,
231003,garden style,24,1064,3,25534,25534,0.1117,slab,,0.73,,,0.025,,0.34,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.93,uef,Individual water heating tank,50,Electricity,0.2961,100,,,686,0.0612,833,,,,,No,Yes,No,Yes,OR,2014,4C,2012,Clackamas,Oregon City,
232007,garden style,13,681,3,9448,9448,0.1152,ventedcrawlspace,0.18,,,,0.021,0.7,0.37,,,,,,,0.056,,,0.056,,COP,1,elecres,"PTAC, no heat pump; Wall heater",elecres,PTAC,PTAC,"PTAC, no heat pump",No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.89,ef,Individual water heating tank,30,Electricity,0.4983,90,,,1000,0.0843,308,,,,,No,Yes,No,Yes,OR,2014,4C,2012,Multnomah,Fairview,
300046,common entry,59,653,3,48506,48506,0.3373,unheatedbsmt,,0.67,,0.03,0.025,,0.2773,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,Yes,Yes,No,0,No,,,gasfurnace,gasfurnace,Heat pump; Electric resistance; Furnace,"HP1; HP2; HP3; HP4; HP5; HP6; HP7; DH-1 (SF-1 ELEVATOR LOBBY); DH-2 (SF-2 L1 COMMON); QUANTITY 8, 1 kW EWH; CSU",,,,,Yes,No,0,No,,Yes,No,0,Natural Gas,0.96,et,Natural Gas,Yes,Central boiler for water heating,119,Yes,,,,,,,0.2792,100,1218,0.2652,,,,1516,0.3594,656,0.4866,Yes,Yes,Yes,No,WA,2015,4C,2012,King,Seattle,
300068,common entry,33,240,3,11537,10838,0.2329,slab,,0.35,,,0.026,0.22,0.34,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,elecres,elecres,Electric resistance,NA,,,,,Yes,No,0,No,,No,,,Natural Gas,0.97,uef,Natural Gas,Yes,Point of use - Tank or tankless,0,Yes,,,,,,,0.2812,100,,,,,116,334,0.2781,140,0.1882,Yes,Yes,Yes,No,WA,2012,4C,2009,King,Seattle,
300077,common entry,148,813,3,170962,170962,0.1987,unheatedbsmt,,0.55,ongrade,0.03,0.0244,,0.2868,,,,,,,0.055,0.055,,,,COP,1,elecres,Wall heater,elecres,,,,Yes,Yes,No,0,No,,,elecres,Split system HP; elecres,Heat pump; Electric resistance,DUCTED; WALL CASSETTE; CEILING CASSETTE; Fan Coil; NA,Split system HP,Split system HP,VRF HP terminal,NA,Yes,No,0,No,,Yes,No,0,,,,,,,,,Electricity,0.9675,ef; uef,Individual water heating tank,80; 20; 50,Electricity,0.1316,100,,,2422,0.0767,686,5383,0.1968,1682,0.1413,Yes,Yes,No,Yes,WA,2012,4C,2009,King,Seattle,
310001,garden style,24,711,3,17064,17064,0.1127,slab,,0.52,,,0.021,,0.34,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.3755,100,,,289,0.0482,566,,,,,No,Yes,No,Yes,WA,2015,4C,2012,Clark,Vancouver,
310021,garden style,8,838,2,6702,6702,0.1146,slab,,0.52,,,0.025,,0.3,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.93,uef,Individual water heating tank,50,Electricity,1.0589,77,,,300,0.054,,,,,,No,Yes,No,Yes,WA,2012,4C,2009,Clark,Vancouver,
310054,common entry,30,440,2,18282,18282,0.2769,slab,,0.52,,,0.021,,0.3465,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,Yes,Yes,No,0,No,,,elecres,Split system HP; elecres,Heat pump; Electric resistance,VRF; NA; Electric Duct Heater x2; HRV w/ 5kW duct heater,,,,,Yes,Yes,68,No,,No,,,Natural Gas,0.965,ef,Natural Gas,Yes,Central boiler for water heating,200,Yes,,,,,,,0.1818,100,,,336.9,0.0389,100,306,0.1813,310,0.4844,Yes,Yes,Yes,No,WA,2015,4C,2012,Clark,Vancouver,
310091,garden style,9,1026,3,9234,9234,0.1527,slab,,0.72,,,0.021,,0.34,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.3255,95,,,178,0.0445,171,,,,,No,Yes,No,Yes,WA,2015,4C,2012,Clark,Vancouver,
310152,garden style,24,870,3,20883,20883,0.1259,slab,,0.52,,,0.021,0.31,0.2962,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.6931,96,,,,,900,,,,,No,Yes,No,Yes,WA,2012,4C,2009,Clark,Vancouver,
310153,garden style,12,907,3,10881,10881,0.0738,slab,,0.56,,,0.021,,0.3633,,,,,,,0.056,,,0.056,,COP,3.1,elecres; PTHP,Wall heater; PTHP; Fireplace,PTHP,PTHP,PTHP,PTHP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.5623,96,,,85,0.0266,700,,,,,No,Yes,No,Yes,WA,2015,4C,2012,Clark,Vancouver,
311005,garden style,24,834,3,20889,20889,0.1672,slab,,0.52,,,0.021,,0.303,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater; Baseboard,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.9121,92,192,0.1483,1280,0.3008,1148,,,,,No,Yes,No,Yes,WA,2012,4C,2009,Pierce,Puyallup,
311007,garden style,18,902,3,16242,16242,0.1571,slab,,0.52,,,0.021,,0.23,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.6421,91,,,167.5,0.0326,301.5,,,,,No,Yes,No,Yes,WA,2015,4C,2012,Pierce,Frederickson,
313005,garden style,18,768,3,17536,17536,0.1554,slab,,0.56,,,0.019,,0.2977,,,,,,,0.056,,,0.056,,HSPF,12.16666667,elecres; Split system HP,Wall heater; Baseboard; Split-System HP; Multi-Head Split System HP,Split system HP,Split system HP,Split system HP,Split-System HP; Multi-Head Split System HP,No,Yes,No,0,No,,,,Split system HP; elecres,Heat pump; Electric resistance,SSI-1 (quantity x3); SSI-2 (quantity x4); SSI-3 (quantity x2); EH-5 (quantity x5); EH-4 (quantity x6),,Split system HP,Heat pump,SSI-1 (quantity x3); SSI-2 (quantity x4); SSI-3 (quantity x2),NA,No,0,No,,No,,,Natural Gas,0.991,et,Natural Gas,Yes,Central boiler for water heating,100,Yes,,,,,,,0.6081,100,,,635,0.2385,826.5,145,0.2762,248,0.2851,No,Yes,Yes,No,WA,2015,5B,2012,Spokane,Spokane,
313034,common entry,24,1092,3,28594,28594,0.1727,slab,,0.36,,,0.021,,0.34,,,,,,,0.042,,,0.042,,COP,1,elecres,Wall heater,elecres,Win AC,Win AC,Window AC unit,No,Yes,Yes,85,No,,,elecres,elecres,Electric resistance,QUANTITY 4,,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.6743,91,,,140,0.0393,90,,,502,0.2104,Yes,Yes,No,Yes,WA,2015,5B,,Spokane,Spokane,
314009,garden style,24,1001,3,24030,23758,0.1996,slab,,0.52,,,0.021,,0.3077,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater; Baseboard,elecres,PTAC,PTAC,"PTAC, no heat pump",No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,1.011,95,,,808,0.0511,1068,,,,,No,Yes,No,Yes,WA,2012,5B,,Spokane,Spokane Valley,
315001,garden style,6,1050,2,8137,6300,0.149,slab,,0.5,,,0.021,,0.3454,,,,,,,0.059396545,,,0.056,,AFUE,95,gasfurnace,Furnace,gasfurnace,Split system HP,Split system HP,Split System HP,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.36,95,228,0.1241,145,0.0558,40,,,,,No,Yes,No,Yes,WA,2015,5B,2012,Spokane,Spokane Valley,
315003,common entry,24,1113,3,29238,29238,0.1924,slab,,0.52,,,0.021,,0.3,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,Win AC,Win AC,Window AC unit,No,Yes,No,0,No,,,elecres,elecres,Electric resistance,NA,,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.6924,94,,,640,0.1882,915,,,648,0.2565,Yes,Yes,No,Yes,WA,2015,5B,2012,Spokane,Spokane Valley,
316002,garden style,8,801,3,6312,6312,0.1363,slab,,0.73,,,0.021,,0.3,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.95,uef,Individual water heating tank,50,Electricity,0.7815,71,,,,,274,,,,,No,Yes,No,Yes,WA,2012,4C,2009,Whatcom,Bellingham,
316049,common entry,10,553,2,7220,6223,0.1519,heatedbsmt,,0.55,,0.03,0.019,,0.255,"Conc.blk,filled",pre-existing below grade wall for semi-heated stor & Mech/ele,0.088,None,None,None,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,Yes,No,0,Yes,elecres,Yes,No,0,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.2312,100,,,,,370.5,288,0.4915,157.5,0.4907,No,Yes,No,Yes,WA,2015,4C,2012,Whatcom,Bellingham,
317028,common entry,12,657,3,9098,9098,0.2017,slab,,0.52,,,0.022,,0.2773,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,elecres,elecres,Electric resistance,"hallway/stairs/bike 

quantity x6; fire sprinkler",,,,,Yes,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.3694,100,,,,,165,75,0.2717,180,0.2594,Yes,Yes,No,Yes,WA,2015,4C,2012,Pierce,Tacoma,
320011,garden style,6,1059,2,6354,6354,0.1424,slab,,0.52,,,0.025,,0.37,,,,,,,0.056,,,0.056,,COP,1,elecres,Wall heater,elecres,,,,No,Yes,No,0,No,,,,,,,,,,,NA,No,0,No,,No,,,,,,,,,,,Electricity,0.92,uef,Individual water heating tank,50,Electricity,0.4482,77,,,50,0.0292,75,,,,,No,Yes,No,Yes,WA,2012,4C,2009,Thurston,Lacey,
320032,common entry,137,779,3,137917,137917,0.235,slab,,0.52,,,0.029,,0.3595,,,,,,,0.045,,,0.045,,COP,3.233333333,PTHP; elecres,PTHP; Baseboard; Wall heater,PTHP,PTHP,PTHP,PTHP,Yes,Yes,No,0,No,,,Split system HP,Split system HP,Heat pump; Other,030/024 - QUANTITY 7; 030/030 - QUANTITY 3; 036/036 - QUANTITY 4; 048/048 - QUANTITY 2; 060/060 - QUANTITY 1; 090/090 - QUANTITY 1; Gas fireplace,Split system HP,Split system HP,Split System HP,030/024 - QUANTITY 7; 030/030 - QUANTITY 3; 036/036 - QUANTITY 4; 048/048 - QUANTITY 2; 060/060 - QUANTITY 1; 090/090 - QUANTITY 1; Quantity x3,Yes,No,0,No,,No,,,Natural Gas,0.95,et,Natural Gas,No,Central boiler for water heating,119,No,,,,,,,0.8485,100,,,6031,0.0631,827,5662,0.2985,1260,0.4421,Yes,Yes,Yes,No,WA,2012,4C,2009,Thurston,Lacey,
