#,Job_ID,WeatherFile,ModelFile,@@NAME@@,@@UNITHTCOP@@,@@UNITHTCURVE_CAPFT@@,@@UNITHTCURVE_CAPFFF@@,@@UNITHTCURVE_EIRFT@@,@@UNITHTCURVE_EIRFFF@@,@@UNITHTCURVE_PLFFPLR@@,@@UNITHTCURVE_DEFROST@@,@@UNITCLCOP@@,@@UNITCLCURVE_CAPFT@@,@@UNITCLCURVE_CAPFFF@@,@@UNITCLCURVE_EIRFT@@,@@UNITCLCURVE_EIRFFF@@,@@UNITCLCURVE_PLFFPLR@@,@@OFFCOEF@@,@@ONCOEF@@,@@DHWCOP@@,@@UNITLPD@@,@@FLOWUNIT@@,@@SPUNIT@@,@@SPHVACUNIT@@,@@WALLU@@,@@CEILINGU@@,@@SLABU@@,@@WINU@@,@@SHGC@@,@@LTGSTR@@,@@LTGINTPKG@@,@@LTGEXTPKG@@,@@UNITHTST@@,@@UNITCLST@@,@@CORHTCOP@@,@@CORHTCURVE_CAPFT@@,@@CORHTCURVE_CAPFFF@@,@@CORHTCURVE_EIRFT@@,@@CORHTCURVE_EIRFFF@@,@@CORHTCURVE_PLFFPLR@@,@@CORHTCURVE_DEFROST@@,@@CORCLCOP@@,@@CORCLCURVE_CAPFT@@,@@CORCLCURVE_CAPFFF@@,@@CORCLCURVE_EIRFT@@,@@CORCLCURVE_EIRFFF@@,@@CORCLCURVE_PLFFPLR@@,@@LPDCOR@@,@@FLOWCORR@@,@@SPCORR@@,@@SPHVACCOR@@,@@CORHTST@@,@@CORCLST@@,@@BSMTHTCOP@@,@@BSMTHTCURVE_CAPFT@@,@@BSMTHTCURVE_CAPFFF@@,@@BSMTHTCURVE_EIRFT@@,@@BSMTHTCURVE_EIRFFF@@,@@BSMTHTCURVE_PLFFPLR@@,@@BSMTHTCURVE_DEFROST@@,@@BSMTCLCOP@@,@@BSMTCLCURVE_CAPFT@@,@@BSMTCLCURVE_CAPFFF@@,@@BSMTCLCURVE_EIRFT@@,@@BSMTCLCURVE_EIRFFF@@,@@BSMTCLCURVE_PLFFPLR@@,@@FLOWBSMT@@,@@SPBSMT@@,@@SPHVACBSMT@@,@@BSMTWU@@,@@FLOORU@@,@@BSMTHTST@@,@@BSMTCLST@@,@@WDB@@,@@SDB@@,@@SWB@@,@@LAT@@,@@LONG@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: Electricity:Facility [J](RunPeriod),c1: InteriorLights:Electricity [J](RunPeriod),c2: ExteriorLights:Electricity [J](RunPeriod),c3: Appl:InteriorEquipment:Electricity [J](RunPeriod),c4: Misc:InteriorEquipment:Electricity [J](RunPeriod),c5: Water Heater:WaterSystems:Electricity [J](RunPeriod),c6: Ventilation (simple):Fans:Electricity [J](RunPeriod),c7: General:Fans:Electricity [J](RunPeriod),c8: Electricity:HVAC [J](RunPeriod),c9: Cooling:Electricity [J](RunPeriod),c10: Heating:Electricity [J](RunPeriod),c11: Pumps:Electricity [J](RunPeriod)
109,110,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,windowSHGC_0.8,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.8,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.027847585,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,11169,2,0,6,49.15,1.1432577759595095E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8877544317139E11,5.253303293772758E9,5.06434107962297E10,5.780820546255685E11,2.1055854608794385E11,3.16880097741389E11,0.0
1099,1100,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,windowSHGC_0.95,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.95,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.027847585,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,10994,2,0,7,11.98,1.1127872007960278E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8877255253001163E11,5.253303293772758E9,4.7237743424233635E10,5.476143701034682E11,1.9751470287745096E11,3.028619238017808E11,0.0
1100,1101,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,windowSHGC_0.99,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.99,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.027847585,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,11029,2,0,7,10.27,1.114185321677674E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8876949670798383E11,5.253303293772758E9,4.746933131169403E10,5.4901554680713257E11,1.9919148442782352E11,3.0235473106762555E11,0.0
1101,1102,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.01,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.005,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,439,2,0,6,47.08,1.0354637372314425E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8888486510814908E11,5.253303293772758E9,3.3205060362924305E10,4.7017859396074536E11,9.01200976182863E10,3.4685343597953345E11,0.0
1102,1103,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.015,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.008,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,439,2,0,6,43.85,1.0354341493497202E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.888852902413863E11,5.253303293772758E9,3.3197051298283665E10,4.7014858094578076E11,9.004715429238339E10,3.4690437535510846E11,0.0
1103,1104,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.02,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.01,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,434,2,0,6,45.05,1.0354231649614017E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8888553084165524E11,5.253303293772758E9,3.3192908823595173E10,4.701373559571985E11,9.000643770031192E10,3.469380094332933E11,0.0
1104,1105,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.025,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.013,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,430,2,0,6,44.57,1.0354186174834689E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.888859050620588E11,5.253303293772758E9,3.3187628710326717E10,4.7013243425886316E11,8.994704731367136E10,3.4699775823486E11,0.0
1105,1106,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.03,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.016,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,425,2,0,6,44.49,1.0354223230287794E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8888626487694492E11,5.253303293772758E9,3.3183372803404217E10,4.7013577998927637E11,8.989362395863608E10,3.470587832272426E11,0.0
1106,1107,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.035,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.019,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,420,2,0,6,45.14,1.0354330771504927E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.888866297887407E11,5.253303293772758E9,3.3179882109713165E10,4.701461691992037E11,8.984402966201208E10,3.4712225742748004E11,0.0
1107,1108,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.04,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.022,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,418,2,0,6,45.76,1.0354484360770763E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8888697557690582E11,5.253303293772758E9,3.317706031223127E10,4.701611823376183E11,8.979874643369978E10,3.471853755916891E11,0.0
1108,1109,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.045,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.025,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,416,2,0,6,47.17,1.0354662832459885E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.888873363677436E11,5.253303293772758E9,3.31745594427377E10,4.70178668715696E11,8.975551073759215E10,3.472485985353629E11,0.0
110,111,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,windowSHGC_0.85,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.85,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.027847585,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,13087,2,0,6,49.28,1.1512250055365317E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8873951336881024E11,5.253303293772758E9,5.210609775903678E10,5.860852140051523E11,2.2105054396044427E11,3.129285722856714E11,0.0
1109,1110,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.05,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.028,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,414,2,0,6,43.89,1.035488578118352E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8888770373693784E11,5.253303293772758E9,3.3172590223347202E10,4.70200596218862E11,8.971525452651337E10,3.473127514690011E11,0.0
1110,1111,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.055,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.031,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,412,2,0,6,45.10,1.035512685762717E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8888806068282327E11,5.253303293772758E9,3.317091091175475E10,4.7022434691734143E11,8.96770826970483E10,3.4737635330853534E11,0.0
1111,1112,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.06,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.034,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,411,2,0,6,47.42,1.0355357562524395E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8888839969520264E11,5.253303293772758E9,3.3169261670732304E10,4.7024707839468286E11,8.964004433464622E10,3.474377723892982E11,0.0
1112,1113,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.065,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.037,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,410,2,0,6,45.64,1.0355621929846023E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.888887436464144E11,5.253303293772758E9,3.3168018556474277E10,4.702731711756322E11,8.960530615612338E10,3.4749984646303394E11,0.0
1113,1114,USA_WA_Spokane.Intl.AP.727850_TMY3.epw,common_hp_heatedbsmtIECC_2012_V8.7.idf,bsmtWallU_0.07,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,1,1,0.92,0.5,0.021252479,311.05,62.21,0.051546824,0.066881979,0.037333415,2.2712,0.4,50,0,0,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,Defrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.7,0.051,311.05,62.21,20,22.2222,1,ConstantCubic,ConstantCubic,ConstantCubic,ConstantCubic,HPACCOOLPLFFPLR,Defrost_EIR_FT,1000,HPACcoolCapFT,HPACcoolCapFFF,HPACCOOLEIRFT,HPACcoolEIRFFF,HPACCOOLPLFFPLR,0.01,62.21,24.884,0.041,0.049468248,15,27,-30,33,22,45,-110,EnergyPlus Completed Successfully,409,2,0,6,47.40,1.03559821810217E12,2.3478781922505703E10,7.884E8,1.597900306580529E11,1.8708976228822015E11,1.8888916604385483E11,5.253303293772758E9,3.3166601547831654E10,4.703087738957579E11,8.956124456641064E10,3.475809277815214E11,0.0
